    det/mc	                expt	              stream	                tier	files	events	size	TB	size/event	MB
  detector	                 ALL	                 ALL	                 ALL	2775506	313880601	9956.601	TB	31.721	MB
  detector	                 ALL	                out1	                 ALL	4025	463437	21.270	TB	45.897	MB
  detector	                 ALL	               noise	                 ALL	28463	4228237	100.747	TB	23.827	MB
  detector	                 ALL	                test	                 ALL	439972	44915502	1743.906	TB	38.826	MB
  detector	                 ALL	             cosmics	                 ALL	1415895	99897440	4141.324	TB	41.456	MB
  detector	                 ALL	         calibration	                 ALL	64135	40603145	150.224	TB	 3.700	MB
  detector	                 ALL	             physics	                 ALL	738404	110064976	3560.464	TB	32.349	MB
  detector	                 ALL	                out2	                 ALL	2427	218373	 2.325	TB	10.647	MB
  detector	                 ALL	            pedestal	                 ALL	1130	19827	 3.560	TB	179.552	MB
  detector	                 ALL	               study	                 ALL	72421	5159985	232.628	TB	45.083	MB
  detector	             physics	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	                test	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	              fardet	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             neardet	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	                 ALL	                 ALL	2413030	294364845	8798.856	TB	29.891	MB
  detector	        protodune-sp	                out1	                 ALL	4025	463437	21.270	TB	45.897	MB
  detector	        protodune-sp	               noise	                 ALL	28463	4228237	100.747	TB	23.827	MB
  detector	        protodune-sp	                test	                 ALL	216299	32483695	976.754	TB	30.069	MB
  detector	        protodune-sp	             cosmics	                 ALL	1350643	97993303	3986.919	TB	40.686	MB
  detector	        protodune-sp	         calibration	                 ALL	64135	40603145	150.224	TB	 3.700	MB
  detector	        protodune-sp	             physics	                 ALL	738404	110064976	3560.464	TB	32.349	MB
  detector	        protodune-sp	                out2	                 ALL	2427	218373	 2.325	TB	10.647	MB
  detector	        protodune-sp	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                 ALL	                 ALL	134809	3043541	413.914	TB	135.997	MB
  detector	        protodune-dp	                out1	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                test	                 ALL	75801	2087902	259.392	TB	124.236	MB
  detector	        protodune-dp	             cosmics	                 ALL	57922	939418	151.066	TB	160.808	MB
  detector	        protodune-dp	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	            pedestal	                 ALL	1086	16221	 3.456	TB	213.064	MB
  detector	        protodune-dp	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	                 311	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	        311_dp_light	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                 ALL	                 ALL	7330	964719	 3.339	TB	 3.461	MB
  detector	             iceberg	                out1	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                test	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	             cosmics	                 ALL	7330	964719	 3.339	TB	 3.461	MB
  detector	             iceberg	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	           fardet-sp	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                 ALL	                 ALL	6691	1125122	26.843	TB	23.858	MB
  detector	   vd-coldbox-bottom	                out1	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                test	                 ALL	6691	1125122	26.843	TB	23.858	MB
  detector	   vd-coldbox-bottom	             cosmics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                 ALL	                 ALL	110597	9311506	319.305	TB	34.291	MB
  detector	      vd-coldbox-top	                out1	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                test	                 ALL	38132	4147915	86.573	TB	20.871	MB
  detector	      vd-coldbox-top	             cosmics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	            pedestal	                 ALL	44	3606	 0.104	TB	28.800	MB
  detector	      vd-coldbox-top	               study	                 ALL	72421	5159985	232.628	TB	45.083	MB
  detector	          hd-coldbox	                 ALL	                 ALL	21153	1984997	79.891	TB	40.247	MB
  detector	          hd-coldbox	                out1	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	                test	                 ALL	21153	1984997	79.891	TB	40.247	MB
  detector	          hd-coldbox	             cosmics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	           fardet-hd	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	           fardet-vd	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	                 ALL	                 ALL	49327	3056585	211.359	TB	69.149	MB
  detector	dc4-vd-coldbox-bottom	                out1	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	                test	                 ALL	49327	3056585	211.359	TB	69.149	MB
  detector	dc4-vd-coldbox-bottom	             cosmics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	                 ALL	                 ALL	32516	0	102.972	TB	-1.000	MB
  detector	  dc4-vd-coldbox-top	                out1	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	                test	                 ALL	32516	0	102.972	TB	-1.000	MB
  detector	  dc4-vd-coldbox-top	             cosmics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	  dc4-vd-coldbox-top	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
  detector	                 ALL	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
  detector	                 ALL	                 ALL	                 raw	1157851	130633302	5233.908	TB	40.066	MB
  detector	                 ALL	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	                 ALL	               noise	                 raw	5694	971277	29.768	TB	30.649	MB
  detector	                 ALL	                test	                 raw	385827	32262364	1520.552	TB	47.131	MB
  detector	                 ALL	             cosmics	                 raw	533488	46293331	2453.524	TB	53.000	MB
  detector	                 ALL	         calibration	                 raw	55201	33968921	136.728	TB	 4.025	MB
  detector	                 ALL	             physics	                 raw	107228	10342399	864.320	TB	83.571	MB
  detector	                 ALL	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	                 ALL	            pedestal	                 raw	1130	19827	 3.560	TB	179.552	MB
  detector	                 ALL	               study	                 raw	66961	4561025	225.415	TB	49.422	MB
  detector	             physics	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	                test	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	              fardet	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             neardet	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	                 ALL	                 raw	836657	114286311	4120.580	TB	36.055	MB
  detector	        protodune-sp	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	               noise	                 raw	5694	971277	29.768	TB	30.649	MB
  detector	        protodune-sp	                test	                 raw	180917	21890766	779.847	TB	35.624	MB
  detector	        protodune-sp	             cosmics	                 raw	485295	44898790	2309.876	TB	51.446	MB
  detector	        protodune-sp	         calibration	                 raw	55201	33968921	136.728	TB	 4.025	MB
  detector	        protodune-sp	             physics	                 raw	107228	10342399	864.320	TB	83.571	MB
  detector	        protodune-sp	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-sp	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                 ALL	                 raw	117750	2533945	403.157	TB	159.102	MB
  detector	        protodune-dp	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                test	                 raw	75801	2087902	259.392	TB	124.236	MB
  detector	        protodune-dp	             cosmics	                 raw	40863	429822	140.308	TB	326.434	MB
  detector	        protodune-dp	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        protodune-dp	            pedestal	                 raw	1086	16221	 3.456	TB	213.064	MB
  detector	        protodune-dp	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	                 311	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	        311_dp_light	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                 ALL	                 raw	7330	964719	 3.339	TB	 3.461	MB
  detector	             iceberg	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                test	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	             cosmics	                 raw	7330	964719	 3.339	TB	 3.461	MB
  detector	             iceberg	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	             iceberg	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	           fardet-sp	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                 ALL	                 raw	6691	1125122	26.843	TB	23.858	MB
  detector	   vd-coldbox-bottom	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                test	                 raw	6691	1125122	26.843	TB	23.858	MB
  detector	   vd-coldbox-bottom	             cosmics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	   vd-coldbox-bottom	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                 ALL	                 raw	86374	6652337	285.645	TB	42.939	MB
  detector	      vd-coldbox-top	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                test	                 raw	19369	2087706	60.126	TB	28.800	MB
  detector	      vd-coldbox-top	             cosmics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	      vd-coldbox-top	            pedestal	                 raw	44	3606	 0.104	TB	28.800	MB
  detector	      vd-coldbox-top	               study	                 raw	66961	4561025	225.415	TB	49.422	MB
  detector	          hd-coldbox	                 ALL	                 raw	21153	1984997	79.891	TB	40.247	MB
  detector	          hd-coldbox	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	               noise	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	                test	                 raw	21153	1984997	79.891	TB	40.247	MB
  detector	          hd-coldbox	             cosmics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	         calibration	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	             physics	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	                out2	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	            pedestal	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	          hd-coldbox	               study	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	           fardet-hd	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	           fardet-vd	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
  detector	dc4-vd-coldbox-bottom	                 ALL	                 raw	49327	3056585	211.359	TB	69.149	MB
  detector	dc4-vd-coldbox-bottom	                out1	                 raw	0	0	 0.000	TB	 0.000	MB
