   time in kHS23-Hrs by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,     13.093,      2.584,      6.225,     23.930,     64.366,     84.197,     49.459,    189.760,     36.734,      2.658,     25.380,     58.369,   556.756
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.047,     42.383,     13.478,    55.908
CA_Victoria,     78.016,    570.305,    443.491,     12.559,      0.000,    291.556,    365.002,    284.742,     98.241,     60.711,     96.083,     90.903,  2391.609
CERN,    963.765,   1737.851,   1254.643,    618.967,   1097.113,   1366.989,   1098.215,   1363.439,    448.356,    267.863,    667.046,    538.747, 11422.994
CH_UNIBE-LHEP,      5.319,      2.538,     10.752,      0.149,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.385,      0.857,    20.000
CZ_FZU,    525.570,    743.514,   1002.379,    159.524,      8.706,     11.888,    824.100,     96.634,      0.483,      0.275,     62.100,    219.037,  3654.210
ES_CIEMAT,     86.015,     60.328,      0.000,      0.000,      0.000,     87.673,     34.409,     30.794,     22.301,      8.361,      1.265,      4.011,   335.157
ES_PIC,    338.976,    616.634,    628.099,    178.538,    621.313,    830.333,    876.448,    530.727,    200.003,    111.255,    186.948,    154.949,  5274.224
FR_CCIN2P3,    143.312,    326.421,    288.931,    157.100,    590.093,    324.564,    309.089,    384.063,    149.931,     49.853,    170.266,    136.988,  3030.609
IN_TIFR,    673.460,    352.203,    669.108,    222.835,    249.524,    573.767,    641.922,   1126.392,    135.934,    269.949,    175.549,    240.187,  5330.830
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL_NIKHEF,    199.373,    131.898,    141.391,    151.766,    524.796,    533.421,    388.528,    300.691,     35.987,    110.885,    265.390,    286.385,  3070.511
NL_SURFsara,    833.048,    577.382,   1820.778,    830.019,    815.534,   1844.996,   1916.572,   1448.395,     93.631,    200.524,    497.610,    819.889, 11698.378
RU_JINR,     60.783,     48.316,     13.131,     28.977,    661.618,    269.057,    153.307,    445.178,    297.876,     27.174,    451.207,    341.812,  2798.436
UK_Bristol,    210.542,    466.171,    182.122,      1.007,    237.854,    246.670,    397.360,    388.383,     82.768,     79.988,    207.593,    191.188,  2691.646
UK_Brunel,     58.047,     19.262,      0.000,      0.000,      0.000,      0.000,      0.000,    103.398,     90.113,     60.821,    197.453,    154.973,   684.068
UK_Edinburgh,     31.934,    143.819,     74.318,      7.056,      0.000,      0.000,      0.000,     72.718,     33.161,     12.638,     11.899,     51.942,   439.484
UK_Imperial,     38.666,    285.295,    231.267,    103.558,    142.305,    704.014,    645.677,    176.650,     61.514,     72.633,    113.768,     90.891,  2666.239
UK_Lancaster,     26.766,    176.534,    161.909,     82.080,     87.351,    845.590,    382.026,    210.628,     55.340,     27.747,     46.427,     31.491,  2133.889
UK_Liverpool,    106.569,    181.462,    160.537,     18.172,      0.122,      0.056,      0.013,      0.005,      0.005,      0.008,      0.000,      0.000,   466.949
UK_Manchester,    101.719,    243.936,     74.656,     13.232,    116.784,   2917.026,   2028.479,    768.470,    421.914,    119.024,    421.850,    573.155,  7800.245
UK_Oxford,     95.613,    194.522,    150.686,     43.399,     88.255,    164.740,     62.507,     73.760,     32.096,     37.760,     25.474,     43.242,  1012.054
UK_QMUL,    215.790,     85.450,    371.493,    117.283,    972.111,    790.470,    339.939,    368.356,    119.986,    112.946,    384.894,    323.756,  4202.474
UK_RAL-PPD,    429.612,   1029.073,    629.210,    290.609,    428.216,   1037.418,   1131.637,    508.203,    195.088,    104.657,    216.409,    341.728,  6341.863
UK_RAL-Tier1,    686.687,   2392.588,   1253.067,    503.069,    612.912,    566.583,    205.495,    806.533,     74.923,    859.624,   1118.101,    782.072,  9861.655
UK_Sheffield,    124.065,     14.153,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     21.506,     31.954,     51.639,    117.000,   360.318
US_BNL,    333.525,    373.255,    266.112,    109.742,     50.757,    231.628,    251.929,    130.970,     34.856,     31.676,     53.818,     62.315,  1930.584
