   time in kHS23-Hrs by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,    139.334,     13.008,      6.490,     27.092,     66.963,    163.196,     64.517,    569.899,    145.644,     70.125,     26.015,     64.114,  1356.398
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.059,     42.395,     14.021,    56.474
CA_Victoria,    409.134,    605.240,    443.508,     12.559,      0.000,    291.556,    416.013,    700.486,    161.102,     70.575,    117.184,    116.182,  3343.538
CERN,   4579.927,   2381.261,   1849.998,    697.072,   1213.713,   1937.362,   1545.984,   7955.501,    822.432,    643.889,    735.490,    816.671, 25179.300
CH_UNIBE-LHEP,      5.319,      2.538,     10.752,      0.149,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.455,      2.850,    22.062
CZ_FZU,   1834.426,    906.793,   1236.469,    168.396,      8.706,     17.877,    849.048,   1258.053,      2.268,      0.593,    122.272,    640.887,  7045.789
ES_CIEMAT,    120.228,     60.328,      0.000,      0.000,      0.000,     87.899,     54.589,    258.330,     22.712,      8.650,      1.940,      4.130,   618.806
ES_PIC,   1255.921,    861.230,    815.955,    193.983,    658.987,   1411.829,   1029.449,   2299.460,    384.010,    164.682,    267.032,    314.467,  9657.004
FR_CCIN2P3,    173.027,    326.459,    289.176,    168.685,    648.829,    564.150,    331.430,   1018.147,    197.520,     50.833,    177.955,    217.397,  4163.608
IN_TIFR,   3106.813,    533.230,   1051.741,    353.813,    249.524,    970.608,    801.362,   2429.268,    194.867,    330.918,    187.597,    246.536, 10456.277
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL_NIKHEF,    420.535,    431.006,    173.308,    159.178,    525.496,   1083.634,    415.283,   1250.353,    231.551,    150.993,    434.068,   1305.968,  6581.373
NL_SURFsara,   5356.405,    586.087,   2631.820,    848.023,    859.771,   3302.268,   2191.293,   5581.964,    161.497,    234.225,    632.618,   1783.173, 24169.144
RU_JINR,    112.437,    216.968,     13.131,     37.661,    661.670,    468.729,    161.436,    683.661,    499.001,     46.937,    451.598,    347.698,  3700.926
UK_Bristol,   3092.598,    758.786,    239.199,     29.462,    238.666,    462.131,    526.887,   1124.414,    182.366,    132.917,    338.327,    289.489,  7415.241
UK_Brunel,    786.836,     19.269,      0.000,      0.000,      0.000,      0.000,      0.000,    293.028,    202.671,    119.245,    321.605,    319.191,  2061.846
UK_Edinburgh,     51.668,    285.210,    136.159,      7.056,      0.000,      0.000,      0.000,    115.749,     61.625,     29.834,     19.533,     86.274,   793.110
UK_Imperial,    185.781,    373.353,    237.281,    116.410,    157.309,    860.008,    661.763,   1434.208,    172.653,     90.491,    168.358,    521.997,  4979.613
UK_Lancaster,    304.388,    267.824,    289.673,    190.553,     87.616,   3070.131,    421.837,   1069.295,     91.945,     44.151,    138.948,    128.980,  6105.342
UK_Liverpool,    278.520,    260.106,    224.218,     18.172,      0.122,      0.057,      0.013,      0.005,      0.132,      0.129,      0.345,      0.855,   782.674
UK_Manchester,    152.145,    243.936,     74.661,     13.287,    116.804,   4262.189,   2121.124,   1099.978,    842.884,    399.148,    528.702,   1816.299, 11671.157
UK_Oxford,   1065.448,    384.589,    210.459,     53.155,     97.289,    298.940,    101.051,    439.133,     98.493,     76.082,     62.776,     76.335,  2963.751
UK_QMUL,   1023.295,     90.751,    437.024,    142.963,   1060.411,   1278.860,    465.124,   1464.979,    253.708,    162.996,    521.307,    480.082,  7381.501
UK_RAL-PPD,   3911.729,   1518.698,    689.007,    343.326,    477.736,   1316.948,   1272.725,   1955.045,    489.677,    290.955,    366.561,   1238.708, 13871.115
UK_RAL-Tier1,   4703.831,   4990.520,   1283.411,    910.179,    659.439,   1149.864,    277.496,   5170.450,    401.282,    967.201,   1401.671,   1729.636, 23644.979
UK_Sheffield,    529.909,     14.153,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     28.389,     61.091,    135.104,    137.403,   906.049
US_BNL,   2044.108,    531.999,    603.835,    131.787,     51.602,    233.447,    291.973,   1296.164,     56.270,     42.253,     98.718,    177.327,  5559.483
US_Caltech,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Colorado,    618.336,    501.565,    331.374,     13.431,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     20.151,    304.678,  1789.535
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_FNAL-T1,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_FermiGrid,  14551.508,  13456.720,  31437.508,  44994.619,  20939.769,  22584.534,  28982.442,  38713.658,   8849.700,   7754.356,   9334.758,   9080.341,250679.914
US_MWT2,      8.500,      2.507,      0.116,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,    11.123
US_Michigan,      6.562,      7.299,     22.334,      0.244,      0.000,      0.370,      3.968,     15.149,     19.039,      2.641,      1.941,      1.143,    80.690
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      6.779,      0.000,      0.044,      0.026,     31.556,    38.405
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_NotreDame,     51.464,     32.906,    134.072,      0.387,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.452,      0.000,   219.281
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_PuertoRico,     61.798,     22.607,     57.057,     31.072,     26.724,     39.066,     18.892,     55.611,      2.420,      2.996,     21.136,     51.505,   390.885
US_SU-ITS,    327.045,    201.357,    292.872,    136.187,    298.749,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,  1256.210
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_UCSD,    111.742,     78.443,     77.124,     34.093,      1.251,     53.616,     67.459,    123.775,     17.863,     30.038,     25.856,     68.420,   689.680
US_UChicago,     34.707,     18.808,     63.436,      9.388,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,   126.340
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_WSU,    365.642,     28.564,      0.000,      0.000,      0.000,      0.000,      0.591,     27.663,     20.314,      1.515,      8.033,      7.529,   459.851
US_Wisconsin,    220.453,     10.180,     32.348,      5.641,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     19.601,     73.519,   361.743
undefined,   1926.737,   2249.239,   4272.019,  11464.020,    432.628,    354.145,    418.861,    961.964,     81.023,    187.180,    144.578,    325.237, 22817.632
Total,  53928.257,  33273.538,  49667.534,  61312.045,  29539.775,  46263.413,  43492.612,  79372.168,  14695.061,  12167.744,  16875.104,  22820.596,463407.850
